t_s,head_x_mm,head_y_mm,head_z_mm,pitch_deg,yaw_deg,roll_deg,head_dx_mm,head_dy_mm,head_dz_mm,off_x,off_y,off_z,off_b,off_c,confidence,tracking_ok
3.1333,3.373,2.452,602.108,3.849,6.982,-2.895,5.601,3.373,3.345,5.6008,3.3729,3.3455,2.727,0.6563,1.0,1
3.15,3.095,2.353,602.043,3.769,6.907,-2.908,5.666,3.095,3.445,5.6655,3.0947,3.4454,2.6882,0.6438,1.0,1
3.1667,2.816,2.252,601.978,3.689,6.83,-2.921,5.73,2.816,3.546,5.7304,2.8158,3.5456,2.6488,0.6309,1.0,1
3.1833,2.536,2.152,601.913,3.607,6.754,-2.933,5.795,2.536,3.646,5.7954,2.5362,3.6461,2.609,0.6177,1.0,1
3.2,2.256,2.051,601.848,3.525,6.676,-2.944,5.861,2.256,3.747,5.8605,2.256,3.7469,2.5687,0.6042,1.0,1
3.2167,1.975,1.95,601.783,3.443,6.598,-2.953,5.926,1.975,3.848,5.9258,1.9752,3.848,2.5279,0.5903,1.0,1
3.2333,1.694,1.849,601.717,3.359,6.519,-2.962,5.991,1.694,3.949,5.9912,1.6939,3.9494,2.4866,0.576,1.0,1
3.25,1.412,1.747,601.652,3.276,6.439,-2.97,6.057,1.412,4.051,6.0567,1.4123,4.0509,2.4449,0.5614,1.0,1
3.2667,1.13,1.645,601.586,3.191,6.358,-2.977,6.122,1.13,4.153,6.1223,1.1302,4.1527,2.4028,0.5464,1.0,1
3.2833,0.848,1.543,601.52,3.106,6.277,-2.983,6.188,0.848,4.255,6.1881,0.8479,4.2548,2.3602,0.5311,1.0,1
3.3,0.565,1.441,601.455,3.02,6.195,-2.989,6.254,0.565,4.357,6.2539,0.5654,4.357,2.3172,0.5153,1.0,1
3.3167,0.283,1.339,601.389,2.934,6.113,-2.993,6.32,0.283,4.459,6.3199,0.2827,4.4594,2.2738,0.0,1.0,1
3.3333,0.0,1.236,601.323,2.847,6.03,-2.996,6.386,0.0,4.562,6.386,0.0,4.5621,2.2299,0.0,1.0,1
3.35,-0.283,1.133,601.256,2.76,5.946,-2.998,6.452,-0.283,4.665,6.4521,-0.2827,4.6648,2.1857,0.0,1.0,1
3.3667,-0.565,1.03,601.19,2.672,5.861,-3.0,6.518,-0.565,4.768,6.5183,-0.5654,4.7677,2.1412,0.0,1.0,1
3.3833,-0.848,0.927,601.124,2.584,5.776,-3.0,6.585,-0.848,4.871,6.5846,-0.8479,4.8708,2.0962,0.0,1.0,1
3.4,-1.13,0.824,601.057,2.495,5.69,-2.999,6.651,-1.13,4.974,6.651,-1.1302,4.974,2.0509,0.0,1.0,1
3.4167,-1.412,0.721,600.991,2.406,5.604,-2.998,6.718,-1.412,5.077,6.7175,-1.4123,5.0773,2.0053,0.0,1.0,1
3.4333,-1.694,0.617,600.924,2.316,5.517,-2.995,6.784,-1.694,5.181,6.784,-1.6939,5.1807,1.9594,0.0,1.0,1
3.45,-1.975,0.514,600.858,2.226,5.429,-2.992,6.851,-1.975,5.284,6.8506,-1.9752,5.2841,1.9131,0.0,1.0,1
3.4667,-2.256,0.41,600.791,2.135,5.341,-2.988,6.917,-2.256,5.388,6.9173,-2.256,5.3877,1.8666,0.0,1.0,1
3.4833,-2.536,0.307,600.724,2.044,5.252,-2.982,6.984,-2.536,5.491,6.984,-2.5362,5.4912,1.8197,0.0,1.0,1
3.5,-2.816,0.203,600.658,1.953,5.163,-2.976,7.051,-2.816,5.595,7.0508,-2.8158,5.5949,1.7726,0.0,1.0,1
3.5167,-3.095,0.099,600.591,1.861,5.073,-2.969,7.118,-3.095,5.699,7.1176,-3.0947,5.6985,1.7253,0.0,1.0,1
3.5333,-3.373,-0.004,600.524,1.769,4.982,-2.961,7.184,-3.373,5.802,7.1845,-3.3729,5.8022,1.6777,0.0,1.0,1
3.55,-3.65,-0.108,600.457,1.677,4.891,-2.952,7.251,-3.65,5.906,7.2514,-3.6502,5.9059,1.6298,0.0,1.0,1
3.5667,-3.927,-0.212,600.39,1.584,4.799,-2.942,7.318,-3.927,6.01,7.3183,-3.9266,6.0095,1.5818,0.0,1.0,1
3.5833,-4.202,-0.315,600.323,1.491,4.707,-2.931,7.385,-4.202,6.113,7.3853,-4.202,6.1132,1.5335,0.0,1.0,1
3.6,-4.476,-0.419,600.256,1.398,4.615,-2.919,7.452,-4.476,6.217,7.4522,-4.4764,6.2167,1.4851,0.0,1.0,1
3.6167,-4.75,-0.522,600.189,1.304,4.521,-2.906,7.519,-4.75,6.32,7.5192,-4.7497,6.3203,1.4365,0.0,1.0,1
3.6333,-5.022,-0.626,600.122,1.211,4.428,-2.892,7.586,-5.022,6.424,7.5862,-5.0218,6.4237,1.3877,0.0,1.0,1
3.65,-5.293,-0.729,600.055,1.117,4.334,-2.878,7.653,-5.293,6.527,7.6532,-5.2927,6.5271,1.3388,0.0,1.0,1
3.6667,-5.562,-0.832,599.988,1.023,4.239,-2.862,7.72,-5.562,6.63,7.7203,-5.5623,6.6304,1.2898,0.0,1.0,1
3.6833,-5.831,-0.936,599.921,0.928,4.144,-2.846,7.787,-5.831,6.734,7.7873,-5.8305,6.7336,1.2406,0.0,1.0,1
3.7,-6.097,-1.039,599.854,0.834,4.048,-2.829,7.854,-6.097,6.837,7.8543,-6.0973,6.8366,1.1914,0.0,1.0,1
3.7167,-6.363,-1.142,599.787,0.739,3.953,-2.81,7.921,-6.363,6.94,7.9213,-6.3625,6.9395,1.142,0.0,1.0,1
3.7333,-6.626,-1.244,599.72,0.644,3.856,-2.791,7.988,-6.626,7.042,7.9883,-6.6262,7.0423,1.0926,0.0,1.0,1
3.75,-6.888,-1.347,599.653,0.549,3.759,-2.771,8.055,-6.888,7.145,8.0553,-6.8883,7.1449,1.0432,0.0,1.0,1
3.7667,-7.149,-1.449,599.586,0.454,3.662,-2.75,8.122,-7.149,7.247,8.1222,-7.1487,7.2473,0.9937,0.0,1.0,1
3.7833,-7.407,-1.552,599.519,0.359,3.564,-2.728,8.189,-7.407,7.35,8.1891,-7.4073,7.3495,0.9441,0.0,1.0,1
3.8,-7.664,-1.654,599.452,0.264,3.466,-2.706,8.256,-7.664,7.452,8.256,-7.664,7.4515,0.8946,0.0,1.0,1
3.8167,-7.919,-1.755,599.386,0.169,3.368,-2.682,8.323,-7.919,7.553,8.3228,-7.9189,7.5533,0.8451,0.0,1.0,1
3.8333,-8.172,-1.857,599.319,0.073,3.269,-2.658,8.39,-8.172,7.655,8.3896,-8.1718,7.6549,0.7956,0.0,1.0,1
3.85,-8.423,-1.958,599.252,-0.022,3.17,-2.633,8.456,-8.423,7.756,8.4564,-8.4227,7.7562,0.7461,0.0,1.0,1
3.8667,-8.672,-2.059,599.185,-0.117,3.071,-2.607,8.523,-8.672,7.857,8.5231,-8.6716,7.8573,0.6967,0.0,1.0,1
3.8833,-8.918,-2.16,599.119,-0.213,2.971,-2.58,8.59,-8.918,7.958,8.5897,-8.9183,7.958,0.6474,0.0,1.0,1
3.9,-9.163,-2.261,599.052,-0.308,2.871,-2.552,8.656,-9.163,8.059,8.6563,-9.1627,8.0585,0.5981,0.0,1.0,1
3.9167,-9.405,-2.361,598.986,-0.403,2.77,-2.524,8.723,-9.405,8.159,8.7228,-9.405,8.1587,0.5489,0.0,1.0,1
3.9333,-9.645,-2.461,598.919,-0.498,2.669,-2.495,8.789,-9.645,8.259,8.7893,-9.6449,8.2586,0.0,0.0,1.0,1
3.95,-9.882,-2.56,598.853,-0.593,2.568,-2.464,8.856,-9.882,8.358,8.8556,-9.8824,8.3582,0.0,0.0,1.0,1
3.9667,-10.118,-2.659,598.787,-0.688,2.467,-2.434,8.922,-10.118,8.457,8.9219,-10.1175,8.4574,0.0,0.0,1.0,1
3.9833,-10.35,-2.758,598.72,-0.783,2.365,-2.402,8.988,-10.35,8.556,8.9881,-10.3501,8.5563,0.0,0.0,1.0,1
4.0,-10.58,-2.857,598.654,-0.877,2.263,-2.37,9.054,-10.58,8.655,9.0542,-10.5801,8.6548,0.0,0.0,1.0,1
4.0167,-10.808,-2.955,598.588,-0.972,2.161,-2.337,9.12,-10.808,8.753,9.1203,-10.8076,8.7529,0.0,0.0,1.0,1
4.0333,-11.032,-3.053,598.522,-1.066,2.059,-2.303,9.186,-11.032,8.851,9.1862,-11.0323,8.8506,0.0,0.0,1.0,1
4.05,-11.254,-3.15,598.456,-1.16,1.956,-2.268,9.252,-11.254,8.948,9.252,-11.2544,8.9479,0.0,0.0,1.0,1
4.0667,-11.474,-3.247,598.391,-1.254,1.854,-2.233,9.318,-11.474,9.045,9.3177,-11.4736,9.0448,0.0,0.0,1.0,1
4.0833,-11.69,-3.343,598.325,-1.348,1.751,-2.197,9.383,-11.69,9.141,9.3833,-11.6901,9.1413,0.0,0.0,1.0,1
4.1,-11.904,-3.439,598.26,-1.441,1.647,-2.16,9.449,-11.904,9.237,9.4488,-11.9036,9.2373,0.0,0.0,1.0,1
4.1167,-12.114,-3.535,598.194,-1.534,1.544,-2.123,9.514,-12.114,9.333,9.5141,-12.1142,9.3329,0.0,0.0,1.0,1
4.1333,-12.322,-3.63,598.129,-1.627,1.44,-2.085,9.579,-12.322,9.428,9.5794,-12.3218,9.428,0.0,0.0,1.0,1
4.15,-12.526,-3.725,598.064,-1.72,1.337,-2.046,9.644,-12.526,9.523,9.6445,-12.5264,9.5226,0.0,0.0,1.0,1
4.1667,-12.728,-3.819,597.999,-1.812,1.233,-2.006,9.709,-12.728,9.617,9.7094,-12.7279,9.6168,0.0,0.0,1.0,1
4.1833,-12.926,-3.912,597.934,-1.904,1.129,-1.966,9.774,-12.926,9.71,9.7742,-12.9263,9.7104,0.0,0.0,1.0,1
4.2,-13.121,-4.006,597.87,-1.995,1.025,-1.926,9.839,-13.121,9.803,9.8389,-13.1214,9.8035,0.0,-1.0064,1.0,1
4.2167,-13.313,-4.098,597.805,-2.086,0.921,-1.884,9.903,-13.313,9.896,9.9034,-13.3134,9.8961,0.0,-1.0476,1.0,1
4.2333,-13.502,-4.19,597.741,-2.177,0.816,-1.843,9.968,-13.502,9.988,9.9678,-13.502,9.9881,0.0,-1.0891,1.0,1
4.25,-13.687,-4.282,597.676,-2.267,0.712,-1.8,10.032,-13.687,10.08,10.032,-13.6873,10.0796,0.0,-1.1311,1.0,1
4.2667,-13.869,-4.372,597.612,-2.357,0.607,-1.757,10.096,-13.869,10.17,10.0961,-13.8692,10.1705,0.0,-1.1735,1.0,1
4.2833,-14.048,-4.463,597.549,-2.447,0.503,-1.714,10.16,-14.048,10.261,10.1599,-14.0477,10.2608,0.0,-1.2163,1.0,1
4.3,-14.223,-4.553,597.485,-2.536,0.398,-1.67,10.224,-14.223,10.351,10.2237,-14.2228,10.3505,0.0,-1.2595,1.0,1
4.3167,-14.394,-4.642,597.421,-2.625,0.293,-1.625,10.287,-14.394,10.44,10.2872,-14.3943,10.4396,0.0,-1.3031,1.0,1
4.3333,-14.562,-4.73,597.358,-2.713,0.189,-1.58,10.351,-14.562,10.528,10.3505,-14.5623,10.5281,0.0,-1.3472,1.0,1
4.35,-14.727,-4.818,597.295,-2.8,0.084,-1.534,10.414,-14.727,10.616,10.4137,-14.7267,10.616,0.0,-1.3915,1.0,1
4.3667,-14.887,-4.905,597.232,-2.887,-0.021,-1.488,10.477,-14.887,10.703,10.4767,-14.8875,10.7033,0.0,-1.4363,1.0,1
4.3833,-15.045,-4.992,597.169,-2.974,-0.125,-1.441,10.539,-15.045,10.79,10.5395,-15.0445,10.7899,0.0,-1.4815,1.0,1
4.4,-15.198,-5.078,597.106,-3.06,-0.23,-1.394,10.602,-15.198,10.876,10.602,-15.1979,10.8758,0.0,-1.5269,1.0,1
4.4167,-15.348,-5.163,597.044,-3.145,-0.335,-1.347,10.664,-15.348,10.961,10.6644,-15.3475,10.9611,0.0,-1.5728,1.0,1
4.4333,-15.493,-5.248,596.982,-3.23,-0.439,-1.299,10.727,-15.493,11.046,10.7266,-15.4934,11.0456,0.0,-1.619,1.0,1
4.45,-15.635,-5.332,596.92,-3.314,-0.544,-1.25,10.789,-15.635,11.13,10.7886,-15.6354,11.1295,0.0,-1.6655,1.0,1
4.4667,-15.774,-5.415,596.858,-3.398,-0.649,-1.202,10.85,-15.774,11.213,10.8503,-15.7735,11.2127,0.0,-1.7124,1.0,1
4.4833,-15.908,-5.497,596.797,-3.481,-0.753,-1.153,10.912,-15.908,11.295,10.9118,-15.9078,11.2951,0.0,-1.7584,1.0,1
4.5,-16.038,-5.579,596.735,-3.563,-0.857,-1.103,10.973,-16.038,11.377,10.9731,-16.0381,11.3768,0.0,-1.7158,1.0,1
4.5167,-16.164,-5.66,596.674,-3.645,-0.962,-1.053,11.034,-16.164,11.458,11.0342,-16.1645,11.4578,0.0,-1.6713,1.0,1
4.5333,-16.287,-5.74,596.613,-3.726,-1.066,-1.003,11.095,-16.287,11.538,11.095,-16.2869,11.538,0.0,-1.6249,1.0,1
4.55,-16.405,-5.82,596.553,-3.806,-1.17,-0.953,11.156,-16.405,11.618,11.1556,-16.4053,11.6175,0.0,-1.5767,1.0,1
4.5667,-16.52,-5.898,596.492,-3.886,-1.274,-0.902,11.216,-16.52,11.696,11.216,-16.5196,11.6962,0.0,-1.5268,1.0,1
4.5833,-16.63,-5.976,596.432,-3.965,-1.378,-0.851,11.276,-16.63,11.774,11.2761,-16.6298,11.7741,0.0,-1.4752,1.0,1
4.6,-16.736,-6.053,596.372,-4.043,-1.481,-0.799,11.336,-16.736,11.851,11.336,-16.736,11.8512,0.0,-1.422,1.0,1
4.6167,-16.838,-6.13,596.313,-4.12,-1.585,-0.748,11.396,-16.838,11.928,11.3956,-16.838,11.9276,0.0,-1.3674,1.0,1
4.6333,-16.936,-6.205,596.254,-4.197,-1.688,-0.696,11.455,-16.936,12.003,11.4549,-16.9359,12.0031,0.0,-1.3113,1.0,1
4.65,-17.03,-6.28,596.194,-4.273,-1.791,-0.644,11.514,-17.03,12.078,11.514,-17.0295,12.0777,0.0,-1.2538,1.0,1
4.6667,-17.119,-6.354,596.136,-4.348,-1.894,-0.592,11.573,-17.119,12.152,11.5728,-17.119,12.1516,0.0,-1.195,1.0,1
4.6833,-17.204,-6.427,596.077,-4.422,-1.997,-0.539,11.631,-17.204,12.225,11.6314,-17.2043,12.2246,0.0,-1.135,1.0,1
4.7,-17.285,-6.499,596.019,-4.496,-2.099,-0.487,11.69,-17.285,12.297,11.6896,-17.2853,12.2967,0.0,-1.0738,1.0,1
4.7167,-17.362,-6.57,595.961,-4.568,-2.202,-0.434,11.748,-17.362,12.368,11.7476,-17.362,12.368,0.0,-1.0115,1.0,1
4.7333,-17.434,-6.64,595.903,-4.64,-2.304,-0.381,11.805,-17.434,12.438,11.8053,-17.4345,12.4384,0.0,-0.9481,1.0,1
4.75,-17.503,-6.71,595.846,-4.711,-2.405,-0.328,11.863,-17.503,12.508,11.8628,-17.5027,12.508,0.0,-0.8837,1.0,1
4.7667,-17.567,-6.779,595.789,-4.781,-2.507,-0.275,11.92,-17.567,12.577,11.9199,-17.5665,12.5766,0.0,-0.8183,1.0,1
4.7833,-17.626,-6.846,595.732,-4.85,-2.608,-0.222,11.977,-17.626,12.644,11.9767,-17.626,12.6444,0.0,-0.7521,1.0,1
4.8,-17.681,-6.913,595.675,-4.919,-2.709,-0.168,12.033,-17.681,12.711,12.0333,-17.6812,12.7112,0.0,-0.6849,1.0,1
4.8167,-17.732,-6.979,595.619,-4.986,-2.81,-0.115,12.089,-17.732,12.777,12.0895,-17.732,12.7771,0.0,-0.617,1.0,1
4.8333,-17.778,-7.044,595.563,-5.052,-2.91,-0.061,12.145,-17.778,12.842,12.1454,-17.7784,12.8421,0.0,-0.5483,1.0,1
4.85,-17.82,-7.108,595.507,-5.118,-3.01,-0.008,12.201,-17.82,12.906,12.201,-17.8204,12.9062,0.0,0.0,1.0,1
4.8667,-17.858,-7.171,595.452,-5.182,-3.11,0.045,12.256,-17.858,12.969,12.2563,-17.8581,12.9693,0.0,0.0,1.0,1
4.8833,-17.891,-7.234,595.397,-5.246,-3.209,0.099,12.311,-17.891,13.031,12.3113,-17.8913,13.0315,0.0,0.0,1.0,1
4.9,-17.92,-7.295,595.343,-5.309,-3.308,0.152,12.366,-17.92,13.093,12.366,-17.9201,13.0927,0.0,0.0,1.0,1
4.9167,-17.945,-7.355,595.288,-5.37,-3.407,0.205,12.42,-17.945,13.153,12.4203,-17.9445,13.1529,0.0,0.0,1.0,1
4.9333,-17.964,-7.414,595.234,-5.431,-3.505,0.259,12.474,-17.964,13.212,12.4743,-17.9645,13.2122,0.0,0.0,1.0,1
4.95,-17.98,-7.472,595.181,-5.49,-3.603,0.312,12.528,-17.98,13.27,12.5279,-17.98,13.2704,0.0,0.0,1.0,1
4.9667,-17.991,-7.53,595.127,-5.549,-3.7,0.365,12.581,-17.991,13.328,12.5813,-17.9911,13.3277,0.0,0.0,1.0,1
4.9833,-17.998,-7.586,595.074,-5.607,-3.798,0.418,12.634,-17.998,13.384,12.6343,-17.9978,13.384,0.0,0.0,1.0,1
5.0,-18.0,-7.641,595.022,-5.663,-3.894,0.471,12.687,-18.0,13.439,12.6869,-18.0,13.4393,0.0,0.0,1.0,1
5.0167,-17.998,-7.696,594.969,-5.719,-3.99,0.523,12.739,-17.998,13.494,12.7392,-17.9978,13.4936,0.0,0.0,1.0,1
5.0333,-17.991,-7.749,594.917,-5.773,-4.086,0.576,12.791,-17.991,13.547,12.7911,-17.9911,13.5468,0.0,0.0,1.0,1
5.05,-17.98,-7.801,594.866,-5.826,-4.182,0.628,12.843,-17.98,13.599,12.8427,-17.98,13.599,0.0,0.0,1.0,1
5.0667,-17.964,-7.852,594.815,-5.879,-4.276,0.68,12.894,-17.964,13.65,12.8939,-17.9645,13.6502,0.0,0.0,1.0,1
5.0833,-17.945,-7.902,594.764,-5.93,-4.371,0.732,12.945,-17.945,13.7,12.9448,-17.9445,13.7003,0.0,0.0,1.0,1
5.1,-17.92,-7.951,594.713,-5.98,-4.465,0.784,12.995,-17.92,13.749,12.9952,-17.9201,13.7494,0.0,0.0,1.0,1
5.1167,-17.891,-8.0,594.663,-6.029,-4.558,0.835,13.045,-17.891,13.797,13.0454,-17.8913,13.7975,0.0,0.0,1.0,1
5.1333,-17.858,-8.046,594.613,-6.077,-4.651,0.886,13.095,-17.858,13.844,13.0951,-17.8581,13.8444,0.0,0.0,1.0,1
5.15,-17.82,-8.092,594.564,-6.124,-4.744,0.937,13.144,-17.82,13.89,13.1445,-17.8204,13.8903,0.0,0.0,1.0,1
5.1667,-17.778,-8.137,594.515,-6.169,-4.836,0.988,13.193,-17.778,13.935,13.1934,-17.7784,13.9352,0.0,0.0,1.0,1
5.1833,-17.732,-8.181,594.466,-6.214,-4.927,1.038,13.242,-17.732,13.979,13.242,-17.732,13.9789,0.0,0.0,1.0,1
5.2,-17.681,-8.224,594.418,-6.257,-5.018,1.088,13.29,-17.681,14.022,13.2902,-17.6812,14.0216,0.0,1.0736,1.0,1
5.2167,-17.626,-8.265,594.37,-6.299,-5.108,1.138,13.338,-17.626,14.063,13.3381,-17.626,14.0632,0.0,1.1493,1.0,1
5.2333,-17.567,-8.306,594.323,-6.34,-5.198,1.187,13.385,-17.567,14.104,13.3855,-17.5665,14.1037,0.0,1.2249,1.0,1
5.25,-17.503,-8.345,594.276,-6.38,-5.287,1.236,13.432,-17.503,14.143,13.4325,-17.5027,14.143,0.0,1.3005,1.0,1
5.2667,-17.434,-8.383,594.229,-6.418,-5.376,1.284,13.479,-17.434,14.181,13.4791,-17.4345,14.1813,0.0,1.3759,1.0,1
5.2833,-17.362,-8.42,594.183,-6.456,-5.464,1.332,13.525,-17.362,14.218,13.5253,-17.362,14.2185,0.0,1.4512,1.0,1
5.3,-17.285,-8.457,594.137,-6.492,-5.551,1.38,13.571,-17.285,14.254,13.5711,-17.2853,14.2545,0.0,1.5263,1.0,1
5.3167,-17.204,-8.491,594.092,-6.527,-5.638,1.427,13.617,-17.204,14.289,13.6165,-17.2043,14.2894,0.0,1.6013,1.0,1
5.3333,-17.119,-8.525,594.047,-6.561,-5.724,1.474,13.662,-17.119,14.323,13.6615,-17.119,14.3232,0.0,1.6761,1.0,1
5.35,-17.03,-8.558,594.002,-6.594,-5.81,1.52,13.706,-17.03,14.356,13.7061,-17.0295,14.3559,0.0,1.7506,1.0,1
5.3667,-16.936,-8.589,593.958,-6.625,-5.895,1.566,13.75,-16.936,14.387,13.7502,-16.9359,14.3874,0.0,1.8249,1.0,1
5.3833,-16.838,-8.62,593.915,-6.655,-5.979,1.611,13.794,-16.838,14.418,13.7939,-16.838,14.4178,0.0,1.899,1.0,1
5.4,-16.736,-8.649,593.871,-6.684,-6.062,1.656,13.837,-16.736,14.447,13.8372,-16.736,14.447,0.0,1.9727,1.0,1
5.4167,-16.63,-8.677,593.828,-6.712,-6.145,1.7,13.88,-16.63,14.475,13.8801,-16.6298,14.4751,0.0,2.0462,1.0,1
5.4333,-16.52,-8.704,593.786,-6.738,-6.228,1.744,13.923,-16.52,14.502,13.9225,-16.5196,14.5021,0.0,2.1193,1.0,1
5.45,-16.405,-8.73,593.744,-6.763,-6.309,1.787,13.965,-16.405,14.528,13.9645,-16.4053,14.5278,0.0,2.1922,1.0,1
5.4667,-16.287,-8.755,593.702,-6.787,-6.39,1.83,14.006,-16.287,14.552,14.0061,-16.2869,14.5525,0.0,2.2646,1.0,1
5.4833,-16.164,-8.778,593.661,-6.81,-6.47,1.872,14.047,-16.164,14.576,14.0472,-16.1645,14.5759,0.0,2.3367,1.0,1
5.5,-16.038,-8.8,593.621,-6.831,-6.55,1.913,14.088,-16.038,14.598,14.0878,-16.0381,14.5982,0.0,2.4084,1.0,1
5.5167,-15.908,-8.821,593.58,-6.852,-6.629,1.954,14.128,-15.908,14.619,14.128,-15.9078,14.6194,0.0,2.4797,1.0,1
5.5333,-15.774,-8.841,593.541,-6.87,-6.707,1.994,14.168,-15.774,14.639,14.1678,-15.7735,14.6393,0.0,2.5505,1.0,1
5.55,-15.635,-8.86,593.501,-6.888,-6.784,2.034,14.207,-15.635,14.658,14.2071,-15.6354,14.6581,0.0,2.6209,1.0,1
5.5667,-15.493,-8.878,593.462,-6.904,-6.861,2.073,14.246,-15.493,14.676,14.246,-15.4934,14.6757,0.0,2.6909,1.0,1
5.5833,-15.348,-8.894,593.424,-6.919,-6.936,2.111,14.284,-15.348,14.692,14.2844,-15.3475,14.6922,0.0,2.7604,1.0,1
5.6,-15.198,-8.909,593.386,-6.933,-7.011,2.149,14.322,-15.198,14.707,14.3223,-15.1979,14.7074,0.0,2.8294,1.0,1
5.6167,-15.045,-8.924,593.349,-6.946,-7.086,2.186,14.36,-15.045,14.722,14.3598,-15.0445,14.7215,0.0,2.8979,1.0,1
5.6333,-14.887,-8.936,593.312,-6.957,-7.159,2.222,14.397,-14.887,14.734,14.3968,-14.8875,14.7344,0.0,2.9658,1.0,1
5.65,-14.727,-8.948,593.275,-6.967,-7.232,2.257,14.433,-14.727,14.746,14.4333,-14.7267,14.7461,0.0,3.0333,1.0,1
5.6667,-14.562,-8.959,593.239,-6.975,-7.304,2.292,14.469,-14.562,14.757,14.4694,-14.5623,14.7566,0.0,3.1002,1.0,1
5.6833,-14.394,-8.968,593.203,-6.983,-7.375,2.326,14.505,-14.394,14.766,14.505,-14.3943,14.766,0.0,3.1665,1.0,1
5.7,-14.223,-8.976,593.168,-6.989,-7.445,2.36,14.54,-14.223,14.774,14.5401,-14.2228,14.7741,0.0,3.2322,1.0,1
5.7167,-14.048,-8.983,593.134,-6.994,-7.515,2.392,14.575,-14.048,14.781,14.5747,-14.0477,14.781,0.0,3.2974,1.0,1
5.7333,-13.869,-8.989,593.1,-6.997,-7.583,2.424,14.609,-13.869,14.787,14.6089,-13.8692,14.7868,0.0,3.3619,1.0,1
5.75,-13.687,-8.993,593.066,-6.999,-7.651,2.455,14.643,-13.687,14.791,14.6426,-13.6873,14.7914,0.0,3.4259,1.0,1
5.7667,-13.502,-8.997,593.033,-7.0,-7.718,2.486,14.676,-13.502,14.795,14.6757,-13.502,14.7947,0.0,3.4892,1.0,1
5.7833,-13.313,-8.999,593.0,-7.0,-7.784,2.515,14.708,-13.313,14.797,14.7084,-13.3134,14.7969,0.0,3.5518,1.0,1
5.8,-13.121,-9.0,592.968,-6.998,-7.85,2.544,14.741,-13.121,14.798,14.7406,-13.1214,14.7979,0.0,3.6138,1.0,1
5.8167,-12.926,-9.0,592.936,-6.995,-7.914,2.572,14.772,-12.926,14.798,14.7723,-12.9263,14.7977,0.0,3.6752,1.0,1
5.8333,-12.728,-8.998,592.905,-6.99,-7.978,2.599,14.804,-12.728,14.796,14.8036,-12.7279,14.7963,0.0,3.7358,1.0,1
5.85,-12.526,-8.996,592.874,-6.985,-8.04,2.625,14.834,-12.526,14.794,14.8343,-12.5264,14.7937,0.0,3.7958,1.0,1
5.8667,-12.322,-8.992,592.844,-6.978,-8.102,2.65,14.864,-12.322,14.79,14.8645,-12.3218,14.7899,0.0,3.855,1.0,1
5.8833,-12.114,-8.987,592.814,-6.97,-8.163,2.675,14.894,-12.114,14.785,14.8942,-12.1142,14.7849,0.0,3.9136,1.0,1
5.9,-11.904,-8.981,592.785,-6.96,-8.223,2.699,14.923,-11.904,14.779,14.9234,-11.9036,14.7787,0.0,3.9714,1.0,1
5.9167,-11.69,-8.973,592.756,-6.949,-8.282,2.722,14.952,-11.69,14.771,14.9521,-11.6901,14.7713,0.0,4.0285,1.0,1
5.9333,-11.474,-8.965,592.728,-6.937,-8.341,2.744,14.98,-11.474,14.763,14.9803,-11.4736,14.7628,0.0,4.0848,1.0,1
5.95,-11.254,-8.955,592.7,-6.924,-8.398,2.765,15.008,-11.254,14.753,15.008,-11.2544,14.753,0.0,4.1404,1.0,1
5.9667,-11.032,-8.944,592.673,-6.909,-8.454,2.785,15.035,-11.032,14.742,15.0351,-11.0323,14.7421,0.0,4.1952,1.0,1
5.9833,-10.808,-8.932,592.647,-6.893,-8.51,2.805,15.062,-10.808,14.73,15.0618,-10.8076,14.73,0.0,4.2493,1.0,1
6.0,-10.58,-8.919,592.621,-6.876,-8.564,2.823,15.088,-10.58,14.717,15.0879,-10.5801,14.7167,0.0,4.3025,1.0,1
6.0167,-10.35,-8.904,592.595,-6.858,-8.618,2.841,15.114,-10.35,14.702,15.1136,-10.3501,14.7022,0.0,4.355,1.0,1
6.0333,-10.118,-8.889,592.57,-6.838,-8.671,2.857,15.139,-10.118,14.686,15.1387,-10.1175,14.6865,0.0,4.4066,1.0,1
6.05,-9.882,-8.872,592.545,-6.817,-8.722,2.873,15.163,-9.882,14.67,15.1632,-9.8824,14.6696,0.0,4.4575,1.0,1
6.0667,-9.645,-8.854,592.521,-6.794,-8.773,2.888,15.187,-9.645,14.652,15.1873,-9.6449,14.6516,0.0,4.5075,1.0,1
6.0833,-9.405,-8.834,592.498,-6.771,-8.823,2.902,15.211,-9.405,14.632,15.2108,-9.405,14.6324,0.0,4.5567,1.0,1
6.1,-9.163,-8.814,592.475,-6.746,-8.872,2.915,15.234,-9.163,14.612,15.2338,-9.1627,14.612,0.0,4.605,1.0,1
6.1167,-8.918,-8.793,592.452,-6.72,-8.919,2.927,15.256,-8.918,14.59,15.2563,-8.9183,14.5905,0.0,4.6525,1.0,1
6.1333,-8.672,-8.77,592.43,-6.693,-8.966,2.939,15.278,-8.672,14.568,15.2783,-8.6716,14.5677,0.0,4.6991,1.0,1
6.15,-8.423,-8.746,592.409,-6.664,-9.012,2.949,15.3,-8.423,14.544,15.2997,-8.4227,14.5439,0.0,4.7449,1.0,1
6.1667,-8.172,-8.721,592.388,-6.634,-9.057,2.958,15.321,-8.172,14.519,15.3206,-8.1718,14.5188,0.0,4.7898,1.0,1
